0, 1001364, 1, 0, 0, 0.0187414344
1, 1001350, 15, 0, 0, 0.0148727195
2, 1001342, 21, 2, 0, 0.0136918519
3, 1001336, 23, 4, 2, 0.0144994101
4, 1001325, 29, 8, 3, 0.0200049374
5, 1001311, 36, 12, 6, 0.0366531312
6, 1001294, 45, 16, 10, 0.0508880951
7, 1001259, 72, 19, 15, 0.0693923458
8, 1001214, 103, 31, 17, 0.0986540616
9, 1001148, 146, 45, 26, 0.1463187784
10, 1001071, 200, 57, 37, 0.2081342787
11, 1000945, 286, 81, 53, 0.2865574360
12, 1000724, 438, 125, 78, 0.4056895077
13, 1000477, 601, 181, 106, 0.5877037644
14, 1000074, 888, 250, 153, 0.8346836567
15, 999516, 1272, 364, 213, 1.1975828409
16, 998744, 1787, 540, 294, 1.7368358374
17, 997599, 2575, 767, 424, 2.5164794922
18, 995936, 3726, 1078, 625, 3.5781102180
19, 993664, 5240, 1559, 902, 5.1764426231
20, 990505, 7395, 2141, 1324, 7.3325519562
21, 985771, 10661, 3080, 1853, 10.4292840958
22, 979331, 14983, 4384, 2667, 14.7772598267
23, 970146, 21180, 6220, 3819, 20.9833335876
24, 957354, 29805, 8785, 5421, 29.8009796143
25, 939253, 41867, 12565, 7680, 42.3626213074
26, 914301, 58492, 17647, 10925, 60.0328521729
27, 880196, 81124, 24522, 15523, 84.6575927734
28, 834022, 111506, 34097, 21740, 118.5738525391
29, 773752, 149894, 47230, 30489, 165.5002593994
30, 696837, 197908, 64238, 42382, 229.2442474365
31, 603371, 253657, 85882, 58455, 313.8874816895
32, 495709, 314139, 111508, 80009, 423.4845886230
33, 379495, 371746, 141941, 108183, 562.5139770508
34, 267004, 416453, 174705, 143203, 730.2443237305
35, 170359, 439753, 205371, 185882, 921.3528442383
36, 97435, 437571, 232007, 234352, 1124.3750000000
37, 49972, 412446, 251133, 287814, 1326.4114990234
38, 23355, 372899, 261192, 343919, 1512.8562011719
39, 9875, 327459, 263051, 400980, 1672.4918212891
40, 3987, 281939, 257130, 458309, 1796.3859863281
41, 1468, 240756, 246053, 513088, 1880.6784667969
42, 536, 204527, 231320, 564982, 1925.7355957031
43, 200, 173414, 214041, 613710, 1933.9370117188
44, 57, 146648, 196155, 658505, 1910.1633300781
45, 23, 123883, 178401, 699058, 1860.4793701172
46, 10, 104953, 160729, 735673, 1789.5517578125
47, 5, 88996, 143632, 768732, 1702.2536621094
48, 2, 75217, 127895, 798251, 1603.7574462891
49, 2, 63749, 113425, 824189, 1498.7425537109
50, 2, 53890, 100018, 847455, 1389.8637695312
51, 1, 45730, 87827, 867807, 1280.3106689453
52, 0, 38752, 76823, 885790, 1172.1550292969
53, 0, 32767, 67177, 901421, 1067.4073486328
54, 0, 27622, 58755, 914988, 967.4803466797
55, 0, 23450, 51185, 926730, 873.3370971680
56, 0, 19813, 44545, 937007, 785.3590698242
57, 0, 16702, 38623, 946040, 703.7106933594
58, 0, 14194, 33388, 953783, 628.3842773438
59, 0, 11990, 28905, 960470, 559.3593750000
60, 0, 10129, 24948, 966288, 496.6285400391
61, 0, 8567, 21529, 971269, 439.6775207520
62, 0, 7236, 18516, 975613, 388.4193115234
63, 0, 6181, 15827, 979357, 342.1511230469
64, 0, 5189, 13605, 982571, 300.7182312012
65, 0, 4358, 11765, 985242, 263.8889160156
66, 0, 3720, 10046, 987599, 231.1981658936
67, 0, 3112, 8640, 989613, 202.1864776611
68, 0, 2648, 7376, 991341, 176.4846191406
69, 0, 2221, 6311, 992833, 153.8378143311
70, 0, 1864, 5412, 994089, 133.9069824219
71, 0, 1580, 4595, 995190, 116.3950576782
72, 0, 1345, 3868, 996152, 100.9455337524
73, 0, 1127, 3317, 996921, 87.4228515625
74, 0, 942, 2836, 997587, 75.6643600464
75, 0, 809, 2425, 998131, 65.4382858276
76, 0, 685, 2063, 998617, 56.4789276123
77, 0, 572, 1786, 999007, 48.8065376282
78, 0, 483, 1508, 999374, 42.1116714478
79, 0, 394, 1280, 999691, 36.3055953979
80, 0, 334, 1095, 999936, 31.2288627625
81, 0, 275, 913, 1000177, 26.8540439606
82, 0, 235, 775, 1000355, 23.0826187134
83, 0, 198, 666, 1000501, 19.8249244690
84, 0, 165, 562, 1000638, 17.0035076141
85, 0, 137, 479, 1000749, 14.5930757523
86, 0, 111, 410, 1000844, 12.5050687790
87, 0, 91, 342, 1000932, 10.7114458084
88, 0, 81, 281, 1001003, 9.0784273148
89, 0, 71, 232, 1001062, 7.8152675629
90, 0, 59, 190, 1001116, 6.6289572716
91, 0, 56, 157, 1001152, 5.5953879356
92, 0, 44, 143, 1001178, 4.7890610695
93, 0, 36, 118, 1001211, 4.0759172440
94, 0, 28, 101, 1001236, 3.4472389221
95, 0, 25, 83, 1001257, 2.8925130367
96, 0, 23, 70, 1001272, 2.4591350555
97, 0, 20, 61, 1001284, 2.1032578945
98, 0, 19, 49, 1001297, 1.7659498453
99, 0, 19, 44, 1001302, 1.5193624496
100, 0, 18, 33, 1001314, 1.2837699652
101, 0, 14, 30, 1001321, 1.0803301334
102, 0, 12, 27, 1001326, 0.8828737736
103, 0, 11, 23, 1001331, 0.7591040134
104, 0, 9, 20, 1001336, 0.6367117763
105, 0, 6, 18, 1001341, 0.5529518127
106, 0, 6, 14, 1001345, 0.4721772969
107, 0, 4, 13, 1001348, 0.3697303534
108, 0, 4, 11, 1001350, 0.3320612907
109, 0, 3, 9, 1001353, 0.2871766090
110, 0, 3, 7, 1001355, 0.2480971366
111, 0, 2, 5, 1001358, 0.1783477366
112, 0, 2, 4, 1001359, 0.1725258231
113, 0, 2, 2, 1001361, 0.1206457987
117, 0, 1, 3, 1001361, 0.0410386436
119, 0, 0, 4, 1001361, 0.0341964811
120, 0, 0, 3, 1001362, 0.0343659967
123, 0, 0, 2, 1001363, 0.0285358205
123, 0, 0, 1, 1001364, 0.0281662960
125, 0, 0, 0, 1001365, 0.0201369151
