0, 1001364, 1, 0, 0, 0.0187755935
1, 1001354, 10, 1, 0, 0.0112653561
2, 1001351, 10, 4, 0, 0.0150204748
3, 1001343, 15, 5, 2, 0.0150204748
4, 1001329, 24, 10, 2, 0.0150204748
5, 1001308, 40, 14, 3, 0.0375511870
6, 1001296, 44, 17, 8, 0.0413063057
7, 1001268, 66, 22, 9, 0.0751023740
8, 1001220, 99, 31, 15, 0.1088984460
9, 1001156, 142, 44, 23, 0.1051433235
10, 1001074, 186, 67, 38, 0.2140417695
11, 1000930, 287, 87, 61, 0.3116748631
12, 1000747, 418, 121, 79, 0.4280835390
13, 1000491, 587, 178, 109, 0.6533906460
14, 1000123, 856, 235, 151, 0.8561670780
15, 999562, 1226, 362, 215, 1.2129033804
16, 998821, 1735, 483, 326, 1.6597625017
17, 997755, 2474, 666, 470, 2.3431940079
18, 996285, 3509, 945, 626, 3.1580548286
19, 994239, 4886, 1380, 860, 4.7014088631
20, 991239, 6902, 1958, 1266, 6.6615805626
21, 987001, 9716, 2852, 1796, 9.5342464447
22, 981082, 13727, 4066, 2490, 13.4132843018
23, 972578, 19547, 5676, 3564, 19.4702911377
24, 960571, 27802, 7967, 5025, 27.3485298157
25, 943842, 39064, 11315, 7144, 38.5725784302
26, 920479, 54764, 16066, 10056, 54.5355911255
27, 888911, 75510, 22720, 14224, 78.2716979980
28, 845892, 103784, 31621, 20068, 109.5893859863
29, 789494, 139936, 43698, 28237, 152.3564300537
30, 716512, 185646, 59923, 39284, 211.6234741211
31, 626912, 239924, 80122, 54407, 290.5673217773
32, 522439, 298940, 105294, 74692, 395.3576660156
33, 403638, 360090, 135760, 101877, 531.1089477539
34, 284364, 410561, 169589, 136851, 701.6364135742
35, 179715, 438689, 202728, 180233, 898.5435791016
36, 100925, 438406, 230803, 231231, 1114.0949707031
37, 49936, 413069, 250556, 287804, 1330.0217285156
38, 21969, 370680, 261126, 347590, 1527.9014892578
39, 8760, 322001, 261890, 408714, 1694.6025390625
40, 3199, 274269, 254876, 469021, 1819.0471191406
41, 1103, 231378, 242357, 526527, 1897.5816650391
42, 410, 194579, 225502, 580874, 1930.0334472656
43, 139, 163713, 207259, 630254, 1927.4836425781
44, 43, 137681, 188321, 675320, 1889.8085937500
45, 15, 115694, 169913, 715743, 1827.4322509766
46, 5, 97295, 152238, 751827, 1746.8099365234
47, 2, 81875, 135630, 783858, 1653.8969726562
48, 1, 69096, 120006, 812262, 1548.9489746094
49, 0, 58157, 105848, 837360, 1441.1695556641
50, 0, 49237, 92746, 859382, 1329.3872070312
51, 0, 41486, 81500, 878379, 1218.8326416016
