0, 1001364, 1, 0, 0, 0.0181014091
1, 1001358, 6, 1, 0, 0.0151343914
2, 1001348, 16, 1, 0, 0.0138451783
3, 1001336, 24, 2, 3, 0.0169190373
4, 1001327, 30, 4, 4, 0.0178411976
5, 1001317, 37, 7, 4, 0.0231616255
6, 1001303, 44, 8, 10, 0.0317873619
7, 1001285, 55, 15, 10, 0.0450912043
8, 1001249, 83, 21, 12, 0.0652820691
9, 1001196, 122, 32, 15, 0.0960126296
10, 1001136, 158, 52, 19, 0.1499397755
11, 1001037, 226, 70, 32, 0.2296151221
12, 1000902, 322, 91, 50, 0.3215078115
13, 1000703, 465, 122, 75, 0.4526914060
14, 1000402, 672, 186, 105, 0.6271046996
15, 999998, 957, 259, 151, 0.8968198895
16, 999385, 1396, 362, 222, 1.2497639656
17, 998524, 1991, 528, 322, 1.7868349552
18, 997373, 2739, 782, 471, 2.5649943352
19, 995779, 3780, 1119, 687, 3.7127485275
20, 993420, 5368, 1602, 975, 5.3247890472
21, 990102, 7637, 2230, 1396, 7.5671162605
22, 985396, 10864, 3166, 1939, 10.7255592346
23, 978759, 15365, 4484, 2757, 15.1497449875
24, 969338, 21743, 6395, 3889, 21.5801353455
25, 956058, 30652, 9112, 5543, 30.6899242401
26, 937623, 43026, 12855, 7861, 43.5941963196
27, 911969, 60132, 18119, 11145, 61.7615737915
28, 877320, 82844, 25394, 15807, 87.1730957031
29, 830077, 113901, 34981, 22406, 122.1933517456
30, 768394, 153515, 48085, 31371, 169.9453430176
31, 690413, 201899, 65255, 43798, 234.2984466553
32, 596185, 257361, 87787, 60032, 320.6961975098
33, 486442, 317933, 114710, 82280, 434.6628723145
34, 368957, 375423, 145885, 111100, 578.3151245117
35, 257042, 419379, 177631, 147313, 749.5394897461
36, 162050, 439729, 208978, 190608, 942.8105468750
37, 92027, 434715, 234818, 239805, 1147.2055664062
38, 46966, 407777, 252944, 293678, 1349.2077636719
39, 21579, 367715, 261675, 350396, 1533.6630859375
40, 9058, 321717, 262924, 407666, 1689.4093017578
41, 3511, 277444, 256008, 464402, 1808.7818603516
42, 1267, 236595, 244509, 518994, 1888.3985595703
43, 478, 200956, 229143, 570788, 1928.4848632812
44, 175, 170391, 212014, 618785, 1932.5855712891
45, 60, 144308, 194032, 662965, 1905.5881347656
46, 17, 122200, 176414, 702734, 1852.7236328125
47, 7, 103573, 158708, 739077, 1779.8526611328
48, 0, 87838, 141467, 772060, 1691.0162353516
49, 0, 74359, 126012, 800994, 1591.3005371094
50, 0, 63048, 111446, 826871, 1485.3217773438
51, 0, 53314, 98325, 849726, 1376.0782470703
52, 0, 45076, 86531, 869758, 1266.8173828125
53, 0, 38223, 75788, 887354, 1159.2508544922
54, 0, 32424, 66240, 902701, 1055.3297119141
55, 0, 27584, 57618, 916163, 955.8875732422
56, 0, 23303, 50197, 927865, 862.1833496094
57, 0, 19865, 43434, 938066, 774.4149780273
58, 0, 16867, 37694, 946804, 693.1817626953
59, 0, 14288, 32682, 954395, 618.5113525391
60, 0, 12076, 28362, 960927, 550.4503784180
61, 0, 10177, 24502, 966686, 488.5727844238
62, 0, 8639, 21122, 971604, 432.4858398438
63, 0, 7231, 18275, 975859, 382.0204162598
64, 0, 6101, 15827, 979437, 336.8980407715
65, 0, 5152, 13592, 982621, 296.5395507812
66, 0, 4321, 11632, 985412, 260.4233398438
67, 0, 3606, 10066, 987693, 228.2815856934
68, 0, 2999, 8550, 989816, 199.8519439697
69, 0, 2555, 7283, 991527, 174.4796905518
70, 0, 2182, 6150, 993033, 151.9724426270
71, 0, 1815, 5242, 994308, 132.1410217285
72, 0, 1554, 4476, 995335, 114.6860046387
73, 0, 1309, 3796, 996260, 99.4225158691
74, 0, 1112, 3258, 996995, 86.1473999023
75, 0, 947, 2769, 997649, 74.5343170166
76, 0, 816, 2333, 998216, 64.3700180054
77, 0, 676, 2011, 998678, 55.5663337708
78, 0, 581, 1692, 999092, 47.8963508606
79, 0, 489, 1435, 999441, 41.2338333130
80, 0, 425, 1232, 999708, 35.4728698730
81, 0, 352, 1067, 999946, 30.5487613678
82, 0, 287, 912, 1000166, 26.2974300385
83, 0, 237, 788, 1000340, 22.6076831818
84, 0, 206, 656, 1000503, 19.4353275299
85, 0, 175, 556, 1000634, 16.6707782745
86, 0, 153, 471, 1000741, 14.3062076569
87, 0, 123, 401, 1000841, 12.2572784424
88, 0, 114, 328, 1000923, 10.4932384491
89, 0, 96, 266, 1001003, 8.9493732452
90, 0, 75, 226, 1001064, 7.6376857758
91, 0, 63, 198, 1001104, 6.4869718552
92, 0, 53, 160, 1001152, 5.5445809364
93, 0, 45, 136, 1001184, 4.6927495003
94, 0, 42, 122, 1001201, 4.0118455887
95, 0, 35, 104, 1001226, 3.4113798141
96, 0, 32, 84, 1001249, 2.8843286037
97, 0, 24, 70, 1001271, 2.4707465172
98, 0, 22, 59, 1001284, 2.0577332973
99, 0, 17, 60, 1001288, 1.7346414328
100, 0, 17, 50, 1001298, 1.5304119587
101, 0, 15, 39, 1001311, 1.3085409403
102, 0, 13, 28, 1001324, 1.1089254618
103, 0, 11, 25, 1001329, 0.9252976179
104, 0, 9, 22, 1001334, 0.7695603967
105, 0, 7, 19, 1001339, 0.6622148752
106, 0, 6, 17, 1001342, 0.5606935024
107, 0, 5, 12, 1001348, 0.4599685371
108, 0, 5, 8, 1001352, 0.3951275051
109, 0, 4, 8, 1001353, 0.3250569403
110, 0, 2, 7, 1001356, 0.2677476406
112, 0, 1, 6, 1001358, 0.1757854372
115, 0, 1, 5, 1001359, 0.0903268829
115, 0, 1, 4, 1001360, 0.0875145867
116, 0, 1, 3, 1001361, 0.0836843029
117, 0, 1, 2, 1001362, 0.0730226785
117, 0, 0, 3, 1001362, 0.0627478734
119, 0, 0, 2, 1001363, 0.0512458161
125, 0, 0, 1, 1001364, 0.0075206300
129, 0, 0, 0, 1001365, 0.0086225597
